,codigo_def,categorias
96,B42,Enfermedades infecciosas y parasitarias 
97,B43,Enfermedades infecciosas y parasitarias 
98,B44,Enfermedades infecciosas y parasitarias 
99,B45,Enfermedades infecciosas y parasitarias 
100,B46,Enfermedades infecciosas y parasitarias 
101,B48,Enfermedades infecciosas y parasitarias 
102,B49,Enfermedades infecciosas y parasitarias 
103,B54,Enfermedades infecciosas y parasitarias 
104,B55,Enfermedades infecciosas y parasitarias 
105,B56,Enfermedades infecciosas y parasitarias 
106,B57,Enfermedades infecciosas y parasitarias 
107,B58,Enfermedades infecciosas y parasitarias 
108,B59,Enfermedades infecciosas y parasitarias 
109,B60,Enfermedades infecciosas y parasitarias 
110,B64,Enfermedades infecciosas y parasitarias 
111,B66,Enfermedades infecciosas y parasitarias 
112,B67,Enfermedades infecciosas y parasitarias 
113,B69,Enfermedades infecciosas y parasitarias 
114,B74,Enfermedades infecciosas y parasitarias 
115,B75,Enfermedades infecciosas y parasitarias 
116,B76,Enfermedades infecciosas y parasitarias 
117,B77,Enfermedades infecciosas y parasitarias 
118,B78,Enfermedades infecciosas y parasitarias 
119,B82,Enfermedades infecciosas y parasitarias 
120,B83,Enfermedades infecciosas y parasitarias 
121,B86,Enfermedades infecciosas y parasitarias 
122,B87,Enfermedades infecciosas y parasitarias 
123,B88,Enfermedades infecciosas y parasitarias 
124,B89,Enfermedades infecciosas y parasitarias 
125,B90,Enfermedades infecciosas y parasitarias 
126,B91,Enfermedades infecciosas y parasitarias 
127,B92,Enfermedades infecciosas y parasitarias 
128,B94,Enfermedades infecciosas y parasitarias 
129,B99,Enfermedades infecciosas y parasitarias 
130,C00,Tumores 
131,C01,Tumores 
132,C02,Tumores 
133,C03,Tumores 
134,C04,Tumores 
135,C05,Tumores 
136,C06,Tumores 
137,C07,Tumores 
138,C08,Tumores 
139,C09,Tumores 
140,C10,Tumores 
141,C11,Tumores 
142,C12,Tumores 
143,C13,Tumores 
144,C14,Tumores 
145,C15,Tumores 
146,C16,Tumores 
147,C17,Tumores 
148,C18,Tumores 
149,C19,Tumores 
150,C20,Tumores 
151,C21,Tumores 
152,C22,Tumores 
153,C23,Tumores 
154,C24,Tumores 
155,C25,Tumores 
156,C26,Tumores 
157,C30,Tumores 
158,C31,Tumores 
159,C32,Tumores 
160,C33,Tumores 
161,C34,Tumores 
162,C37,Tumores 
163,C38,Tumores 
164,C39,Tumores 
165,C40,Tumores 
166,C41,Tumores 
167,C43,Tumores 
168,C44,Tumores 
169,C45,Tumores 
170,C46,Tumores 
171,C47,Tumores 
172,C48,Tumores 
173,C49,Tumores 
174,C50,Tumores 
175,C51,Tumores 
176,C52,Tumores 
177,C53,Tumores 
178,C54,Tumores 
179,C55,Tumores 
180,C56,Tumores 
181,C57,Tumores 
182,C58,Tumores 
183,C60,Tumores 
184,C61,Tumores 
185,C62,Tumores 
186,C63,Tumores 
187,C64,Tumores 
188,C65,Tumores 
189,C66,Tumores 
190,C67,Tumores 
191,C68,Tumores 
192,C69,Tumores 
193,C70,Tumores 
194,C71,Tumores 
195,C72,Tumores 
196,C73,Tumores 
197,C74,Tumores 
198,C75,Tumores 
199,C76,Tumores 
200,C77,Tumores 
201,C78,Tumores 
202,C79,Tumores 
203,C80,Tumores 
204,C81,Tumores 
205,C82,Tumores 
206,C83,Tumores 
207,C84,Tumores 
208,C85,Tumores 
209,C86,Tumores 
210,C88,Tumores 
211,C90,Tumores 
212,C91,Tumores 
213,C92,Tumores 
214,C93,Tumores 
215,C94,Tumores 
216,C95,Tumores 
217,C96,Tumores 
218,C97,Tumores 
219,D00,Tumores 
220,D01,Tumores 
221,D02,Tumores 
222,D03,Tumores 
223,D04,Tumores 
224,D05,Tumores 
225,D06,Tumores 
226,D07,Tumores 
227,D09,Tumores 
228,D10,Tumores 
229,D11,Tumores 
230,D12,Tumores 
231,D13,Tumores 
232,D14,Tumores 
233,D15,Tumores 
234,D16,Tumores 
235,D17,Tumores 
236,D18,Tumores 
237,D19,Tumores 
238,D20,Tumores 
239,D21,Tumores 
240,D22,Tumores 
241,D23,Tumores 
242,D24,Tumores 
243,D25,Tumores 
244,D26,Tumores 
245,D27,Tumores 
246,D28,Tumores 
247,D29,Tumores 
248,D30,Tumores 
249,D31,Tumores 
250,D32,Tumores 
251,D33,Tumores 
252,D34,Tumores 
253,D35,Tumores 
254,D36,Tumores 
255,D37,Tumores 
256,D38,Tumores 
257,D39,Tumores 
258,D40,Tumores 
259,D41,Tumores 
260,D42,Tumores 
261,D43,Tumores 
262,D44,Tumores 
263,D45,Tumores 
264,D46,Tumores 
265,D47,Tumores 
266,D48,Tumores 
267,D50,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad "
268,D51,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad "
269,D52,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad "
270,D53,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad "
